Timestamp,1a. Country of research institute,1b. Which best describes your affiliation with eDNA?,1c. How long have you worked with eDNA?,2a. At which career stage are you?,2b. How do you work with eDNA data/samples? (select all that apply),2a. Which area would you consider best describes your work? ,2b. How do you use/work with eDNA data/samples? (select all that apply),"3a. With regards to eDNA, where is your main area of expertise?",3b. What type of eDNA samples do you work with? ,"3c. With regards to eDNA, what type of organism(s) do you study (multiple choices allowed)","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Sampling methodology (in the field)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Primer development (single-species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Reference database quality/completion]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (single species)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Quantification of eDNA concentration and assessment of species abundance (metabarcoding)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Biomonitoring ]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Understanding behaviour of eDNA (decay, shedding, transport)]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Ability to interpret results]","3d. In the next 5-10 years, how much development is needed in the following areas on a scale from 1 to 5 (1 - little development needed, 5 -  extensive development needed)

 [Translation to practice]",3e. Where did you hear about this survey?
2023/09/12 9:13:56 AM GMT+3,Switzerland,end-user (governmental organisation or similar),2-5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Invertebrates,2,No idea,No idea,5 - extensive development needed,5 - extensive development needed,No idea,3,4,4,3,Email
2023/09/12 9:47:16 AM GMT+3,Australia,researcher (academic),< 2 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Terrestrial ecosystems,Soil;Air;Water,Vertebrates,4,2,3,5 - extensive development needed,3,3,3,5 - extensive development needed,4,4,Email
2023/09/12 9:54:26 AM GMT+3,Denmark,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Water,Vertebrates;Invertebrates,1 - little development needed,3,2,5 - extensive development needed,4,5 - extensive development needed,1 - little development needed,5 - extensive development needed,3,3,Email
2023/09/12 10:01:27 AM GMT+3,Switzerland,end-user (governmental organisation or similar),2-5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Vertebrates;Invertebrates,1 - little development needed,No idea,No idea,No idea,No idea,No idea,No idea,No idea,No idea,3,Email
2023/09/12 10:06:00 AM GMT+3,Slovenia,service provider (commercial sector),> 5 years,,,Commercial sector,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,4,3,4,2,4,5 - extensive development needed,4,3,5 - extensive development needed,Email
2023/09/12 10:23:42 AM GMT+3,Switzerland,researcher (academic),2-5 years,Technician,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Molecular assay development",,,Freshwater ecosystems,Water,Vertebrates,4,3,1 - little development needed,5 - extensive development needed,4,1 - little development needed,3,5 - extensive development needed,No idea,5 - extensive development needed,Group internal
2023/09/12 11:23:53 AM GMT+3,Switzerland,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Water,Vertebrates;Invertebrates;Micro-eukaryotes,3,2,No idea,4,No idea,3,4,4,2,4,Social media
2023/09/12 2:36:52 PM GMT+3,Switzerland,researcher (academic),> 5 years,Group leader/Professor,leader of a large project where eDNA is a small part of it,,,Freshwater ecosystems,Water,Vertebrates,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/12 4:41:07 PM GMT+3,Switzerland,end-user (governmental organisation or similar),> 5 years,,,Non-governmental worker,"End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Vertebrates,No idea,No idea,5 - extensive development needed,No idea,5 - extensive development needed,No idea,No idea,No idea,No idea,5 - extensive development needed,Email
2023/09/12 5:46:30 PM GMT+3,Honduras,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation)",,,Freshwater ecosystems,Sediment,Prokaryotes,3,3,3,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/12 6:49:03 PM GMT+3,Switzerland,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water;Biofilm,Vertebrates;Prokaryotes,3,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/12 8:51:25 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,3,2,2,2,4,4,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/12 9:13:33 PM GMT+3,Canada,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Water,Vertebrates,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/12 11:18:21 PM GMT+3,Mexico,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Marine ecosystems,Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,1 - little development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/13 1:07:51 PM GMT+3,Croatia,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Micro-eukaryotes;Prokaryotes,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,4,3,5 - extensive development needed,5 - extensive development needed,Email
2023/09/14 12:04:39 PM GMT+3,Italy,researcher (academic),< 2 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation)",,,Terrestrial ecosystems,Water,Vertebrates,2,4,4,4,4,3,No idea,3,2,4,Social media
2023/09/14 12:40:30 PM GMT+3,Norway,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Sediment;Water,Invertebrates;Micro-eukaryotes;Prokaryotes,2,3,4,5 - extensive development needed,4,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/14 12:49:55 PM GMT+3,Switzerland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Sediment;Water;Biofilm,Invertebrates;Micro-eukaryotes,No idea,4,No idea,4,No idea,No idea,3,4,4,5 - extensive development needed,Email
2023/09/14 4:37:55 PM GMT+3,United States,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment)",,,Terrestrial ecosystems,Soil,Invertebrates;Plants/Macroalgae;Prokaryotes,4,No idea,No idea,4,3,4,4,4,4,4,Email
2023/09/14 5:29:58 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy);Outreach/SciComm",,,Marine ecosystems,Water,Vertebrates;Invertebrates,3,3,1 - little development needed,5 - extensive development needed,2,4,4,1 - little development needed,3,5 - extensive development needed,Email
2023/09/15 6:27:43 AM GMT+3,Italy,researcher (academic),2-5 years,Group leader/Professor,development of instrumentation,,,Freshwater ecosystems,Water,Invertebrates,3,3,3,4,4,4,3,4,3,5 - extensive development needed,Email
2023/09/15 6:24:05 PM GMT+3,United Kingdom,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Terrestrial ecosystems,Soil;Water,Micro-eukaryotes,1 - little development needed,3,No idea,4,No idea,4,2,4,5 - extensive development needed,4,Email
2023/09/15 9:17:41 PM GMT+3,United States,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,3,2,2,3,2,3,No idea,5 - extensive development needed,5 - extensive development needed,No idea,Email
2023/09/16 11:16:49 AM GMT+3,Belgium,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,3,2,3,4,5 - extensive development needed,5 - extensive development needed,1 - little development needed,4,3,4,Email
2023/09/17 2:39:02 PM GMT+3,Finland,researcher (academic),2-5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Air,Plants/Macroalgae,3,No idea,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,No idea,5 - extensive development needed,3,No idea,Email
2023/09/18 5:13:21 AM GMT+3,Switzerland,researcher (academic),2-5 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,1 - little development needed,4,2,4,2,5 - extensive development needed,3,4,4,3,Email
2023/09/18 10:40:55 AM GMT+3,Singapore,researcher (academic),> 5 years,Doctoral student,"Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Plants/Macroalgae,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/18 10:48:46 AM GMT+3,Switzerland,end-user (governmental organisation or similar),2-5 years,,,Government worker,"Data Analysis (e.g., presence/absence or community assessment);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Invertebrates,2,4,4,5 - extensive development needed,4,4,5 - extensive development needed,4,4,4,Email
2023/09/18 12:04:03 PM GMT+3,Switzerland,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Plants/Macroalgae,3,2,2,4,No idea,No idea,4,No idea,3,4,Colleague
2023/09/18 2:36:40 PM GMT+3,Canada,researcher (academic),< 2 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,2,4,2,5 - extensive development needed,No idea,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Jeanine Brantschen
2023/09/18 4:12:49 PM GMT+3,Faroe Islands,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates;Micro-eukaryotes,4,4,4,4,4,5 - extensive development needed,4,4,4,4,Email
2023/09/19 10:51:03 AM GMT+3,New Zealand,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy);Method validation (filter size, spatial scale of sampling, etc.)",,,Freshwater ecosystems,Water,Vertebrates;Invertebrates,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,4,5 - extensive development needed,4,3,4,Social media
2023/09/19 10:54:57 AM GMT+3,Switzerland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Air,Vertebrates;Invertebrates;Plants/Macroalgae;Prokaryotes,4,3,No idea,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,Social media
2023/09/19 10:57:28 AM GMT+3,United Kingdom,end-user (governmental organisation or similar),> 5 years,,,Government worker,"End-user implementing of results (e.g., conservation, policy)",Marine ecosystems,Soil;Sediment;Air;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,2,5 - extensive development needed,3,5 - extensive development needed,3,4,4,5 - extensive development needed,5 - extensive development needed,4,Social media
2023/09/19 11:25:25 AM GMT+3,United Kingdom,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water;Biofilm,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,3,3,3,4,3,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,Email
2023/09/19 11:31:17 AM GMT+3,United Kingdom,end-user (governmental organisation or similar),2-5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",Freshwater ecosystems,Water;Biofilm,Invertebrates;Plants/Macroalgae,4,2,3,4,4,4,3,3,3,3,Email
2023/09/19 11:46:23 AM GMT+3,United Kingdom,researcher (academic),< 2 years,Doctoral student,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Water,Vertebrates,3,4,3,5 - extensive development needed,3,5 - extensive development needed,4,4,4,5 - extensive development needed,Social media
2023/09/19 11:58:11 AM GMT+3,India,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment)",,,Marine ecosystems,Sediment;Water,Plants/Macroalgae;Prokaryotes,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,4,Social media
2023/09/19 12:38:57 PM GMT+3,France,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae,4,4,4,4,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,4,4,Email
2023/09/19 1:04:43 PM GMT+3,Netherlands,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",,,Freshwater ecosystems,Air;Water,Vertebrates;Invertebrates,5 - extensive development needed,3,2,5 - extensive development needed,3,5 - extensive development needed,4,4,4,5 - extensive development needed,Social media
2023/09/19 1:42:04 PM GMT+3,Switzerland,researcher (academic),> 5 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water;Biofilm,Micro-eukaryotes;Prokaryotes,1 - little development needed,2,2,2,1 - little development needed,1 - little development needed,1 - little development needed,2,2,2,Social media
2023/09/19 2:10:49 PM GMT+3,Belgium,end-user (governmental organisation or similar),> 5 years,,,Government worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",Freshwater ecosystems,Water,Invertebrates,2,4,2,5 - extensive development needed,4,5 - extensive development needed,1 - little development needed,4,5 - extensive development needed,No idea,Email
2023/09/19 5:05:31 PM GMT+3,Switzerland,end-user (governmental organisation or similar),< 2 years,,,Government worker,"End-user implementing of results (e.g., conservation, policy)",Terrestrial ecosystems,Water,Vertebrates;Invertebrates,No idea,No idea,No idea,No idea,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/19 5:47:11 PM GMT+3,Poland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil,Micro-eukaryotes;Prokaryotes,2,4,3,5 - extensive development needed,3,4,No idea,4,2,2,Social media
2023/09/19 5:53:08 PM GMT+3,Poland,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment;Air,Micro-eukaryotes;Prokaryotes,2,5 - extensive development needed,2,5 - extensive development needed,2,5 - extensive development needed,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Friend
2023/09/19 6:31:23 PM GMT+3,United Kingdom,end-user (governmental organisation or similar),< 2 years,,,Non-governmental worker,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Data Interpretation (e.g., modelling, assessment of ecological status);End-user implementing of results (e.g., conservation, policy)",Freshwater ecosystems,Water,Vertebrates;Invertebrates;Micro-eukaryotes;Prokaryotes,3,4,3,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,Email
2023/09/19 6:43:07 PM GMT+3,Israel,researcher (academic),2-5 years,Master/Undergraduate,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Data Analysis (e.g., presence/absence or community assessment)",,,Terrestrial ecosystems,,Vertebrates,1 - little development needed,1 - little development needed,1 - little development needed,2,2,2,2,2,2,2,Social media
2023/09/19 6:50:07 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Terrestrial ecosystems,Soil;Sediment;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes;Prokaryotes,4,1 - little development needed,1 - little development needed,5 - extensive development needed,2,4,No idea,5 - extensive development needed,3,4,Email
2023/09/19 7:42:15 PM GMT+3,Brazil,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Freshwater ecosystems,Water,Vertebrates,5 - extensive development needed,5 - extensive development needed,3,5 - extensive development needed,4,5 - extensive development needed,4,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Email
2023/09/19 8:09:31 PM GMT+3,United States,researcher (academic),< 2 years,Group leader/Professor,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment)",,,Freshwater ecosystems,Water,Invertebrates,4,4,3,5 - extensive development needed,3,4,3,5 - extensive development needed,4,4,Social media
2023/09/19 10:44:57 PM GMT+3,United States,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Water,Vertebrates;Invertebrates,3,4,2,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,4,4,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/19 11:24:14 PM GMT+3,Germany,researcher (academic),2-5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status)",,,Marine ecosystems,Soil;Water,Vertebrates;Invertebrates;Plants/Macroalgae;Micro-eukaryotes,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,5 - extensive development needed,Social media
2023/09/19 11:32:46 PM GMT+3,United States,researcher (academic),> 5 years,Post-Doc/Senior Researcher,"Sampling (e.g., fieldwork, collection of environmental samples, preservation);Sample processing (e.g., DNA extraction, PCR, sequencing, library preparation);Bioinformatics (e.g., sequence filtering, taxonomic assignment);Data Analysis (e.g., presence/absence or community assessment);Data Interpretation (e.g., modelling, assessment of ecological status);Teaching ",,,Marine ecosystems,Soil;Sediment,Micro-eukaryotes,3,3,4,5 - extensive development needed,3,5 - extensive development needed,4,4,4,5 - extensive development needed,Slack group
